"asin","sku","product_name","ad_spend","ad_clicks","ad_impressions","ad_units_ordered","ad_sales","profit","total_expense","sales_amount","ad_conversions","quantity","formatted_date"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","186.1900000000","47","8796","4","156.0000000000","-144.2514995240","378.2514995240","234.0000000000","3","6","2024-08-26"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","227.1800000000","54","9291","3","117.0000000000","-134.5414997150","368.5414997150","234.0000000000","3","6","2024-08-25"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","198.2100000000","54","8804","3","117.0000000000","-106.3862500000","301.3862500000","195.0000000000","3","5","2024-08-24"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","162.1600000000","43","9525","0","0.0000000000","-162.1600000000","162.1600000000",,"0",,"2024-08-23"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","153.9400000000","39","7756","1","39.0000000000","-98.8457500000","215.8457500000","117.0000000000","1","3","2024-08-22"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","78.5400000000","19","7280","0","0.0000000000","-5.0810000000","161.0810000000","156.0000000000","0","4","2024-08-21"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","99.7500000000","31","6019","4","152.0000000000","-26.2910000000","182.2910000000","156.0000000000","4","4","2024-08-20"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","45.8100000000","15","3120","2","78.0000000000","9.2842500000","107.7157500000","117.0000000000","2","3","2024-08-19"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","57.3700000000","20","3489","2","78.0000000000","-39.0052500000","78.0052500000","39.0000000000","2","1","2024-08-18"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","56.3600000000","16","3835","2","78.0000000000","53.8285000000","180.1715000000","234.0000000000","2","6","2024-08-17"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","55.4900000000","17","4363","2","78.0000000000","-37.1252500000","76.1252500000","39.0000000000","2","1","2024-08-16"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","72.4000000000","21","3997","0","0.0000000000","-35.6705000000","113.6705000000","78.0000000000","0","2","2024-08-15"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","65.5800000000","20","5062","2","78.0000000000","7.8790000000","148.1210000000","156.0000000000","2","4","2024-08-14"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","85.6700000000","30","7237","0","0.0000000000","-48.9405000000","126.9405000000","78.0000000000","0","2","2024-08-13"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","72.1000000000","25","9254","1","39.0000000000","-53.7352500000","92.7352500000","39.0000000000","1","1","2024-08-12"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","76.6900000000","28","5702","1","39.0000000000","-39.9605000000","117.9605000000","78.0000000000","1","2","2024-08-11"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","43.6100000000","18","3769","0","0.0000000000","-43.6100000000","43.6100000000",,"0",,"2024-08-10"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","47.8300000000","18","4043","0","0.0000000000","-47.8300000000","47.8300000000",,"0",,"2024-08-09"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","51.9200000000","18","4939","0","0.0000000000","-33.5552500000","72.5552500000","39.0000000000","0","1","2024-08-08"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","96.7700000000","35","6636","0","0.0000000000","-60.0405000000","138.0405000000","78.0000000000","0","2","2024-08-07"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","75.3100000000","27","4574","0","0.0000000000","-1.8510000000","157.8510000000","156.0000000000","0","4","2024-08-06"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","54.2100000000","19","4497","0","0.0000000000","-54.2100000000","54.2100000000",,"0",,"2024-08-05"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","85.0200000000","25","5354","1","39.0000000000","-29.9257500000","146.9257500000","117.0000000000","1","3","2024-08-04"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","91.3200000000","29","4705","6","234.0000000000","-36.2257500000","153.2257500000","117.0000000000","3","3","2024-08-03"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","37.5700000000","13","4891","0","0.0000000000","-19.2052500000","58.2052500000","39.0000000000","0","1","2024-08-02"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","79.1900000000","22","6265","1","39.0000000000","-63.0957500000","180.0957500000","117.0000000000","1","3","2024-08-01"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","34.3400000000","15","7551","1","39.0000000000","-3.4605000000","81.4605000000","78.0000000000","1","2","2024-07-31"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","58.0000000000","20","6083","1","39.0000000000","-7.9410000000","163.9410000000","156.0000000000","1","4","2024-07-30"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","39.2300000000","17","9957","1","39.0000000000","16.6790000000","139.3210000000","156.0000000000","1","4","2024-07-29"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","39.1500000000","14","9525","1","39.0000000000","10.9090000000","145.0910000000","156.0000000000","1","4","2024-07-28"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","29.0200000000","12","7036","1","39.0000000000","8.5242500000","108.4757500000","117.0000000000","1","3","2024-07-27"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","65.4800000000","22","7334","1","39.0000000000","59.6675000000","330.3325000000","390.0000000000","1","10","2024-07-26"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","63.9300000000","21","9954","1","39.0000000000","-1.3562500000","196.3562500000","195.0000000000","1","5","2024-07-25"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","55.8800000000","21","10882","0","0.0000000000","6.6937500000","188.3062500000","195.0000000000","0","5","2024-07-24"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","57.1700000000","19","6723","2","78.0000000000","-7.1110000000","163.1110000000","156.0000000000","2","4","2024-07-23"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","55.5900000000","18","7903","0","0.0000000000","-30.5605000000","108.5605000000","78.0000000000","0","2","2024-07-22"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","60.4000000000","24","10093","3","117.0000000000","14.6885000000","219.3115000000","234.0000000000","3","6","2024-07-21"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","42.9100000000","15","7719","0","0.0000000000","-30.3952500000","69.3952500000","39.0000000000","0","1","2024-07-20"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","48.6200000000","18","8100","1","39.0000000000","1.4390000000","154.5610000000","156.0000000000","1","4","2024-07-19"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","55.0300000000","19","10401","0","0.0000000000","-55.0300000000","55.0300000000",,"0",,"2024-07-18"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","71.6500000000","19","12387","0","0.0000000000","4.8517500000","400.7482500000","405.6000000000","0","13","2024-07-17"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","79.6400000000","20","10796","4","124.8000000000","-38.4467500000","256.8467500000","218.4000000000","2","7","2024-07-16"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","46.4100000000","11","6395","2","70.2000000000","-8.8657500000","125.8657500000","117.0000000000","2","3","2024-07-15"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","73.4100000000","18","5275","2","78.0000000000","-35.8657500000","152.8657500000","117.0000000000","2","3","2024-07-14"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","87.8500000000","20","4865","0","0.0000000000","-62.8205000000","140.8205000000","78.0000000000","0","2","2024-07-13"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","85.8000000000","19","5121","0","0.0000000000","-73.2852500000","112.2852500000","39.0000000000","0","1","2024-07-12"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","32.5400000000","8","3996","1","39.0000000000","5.0042500000","111.9957500000","117.0000000000","1","3","2024-07-11"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","44.2900000000","8","1481","0","0.0000000000","18.2837500000","176.7162500000","195.0000000000","0","5","2024-07-10"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","26.3500000000","7","1164","0","0.0000000000","59.6237500000","135.3762500000","195.0000000000","0","5","2024-07-09"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","21.3100000000","7","2244","0","0.0000000000","52.1490000000","103.8510000000","156.0000000000","0","4","2024-07-08"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","21.0400000000","8","6184","0","0.0000000000","-2.6752500000","41.6752500000","39.0000000000","0","1","2024-07-07"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","25.4500000000","9","4287","0","0.0000000000","-25.4500000000","25.4500000000",,"0",,"2024-07-06"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","13.8200000000","6","3128","0","0.0000000000","-0.6052500000","39.6052500000","39.0000000000","0","1","2024-07-05"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","7.3300000000","4","4943","0","0.0000000000","-7.3300000000","7.3300000000",,"0",,"2024-07-04"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","16.2700000000","6","4387","0","0.0000000000","75.5537500000","119.4462500000","195.0000000000","0","5","2024-07-03"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","23.3600000000","9","3026","1","39.0000000000","50.0990000000","105.9010000000","156.0000000000","1","4","2024-07-02"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","5.9700000000","3","981","0","0.0000000000","93.3332500000","179.6667500000","273.0000000000","0","7","2024-07-01"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","2.3700000000","2","761","0","0.0000000000","109.4480000000","202.5520000000","312.0000000000","0","8","2024-06-30"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","2.4800000000","3","302","1","39.0000000000","128.1275000000","261.8725000000","390.0000000000","1","10","2024-06-29"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","1.0700000000","2","224","1","39.0000000000","36.4742500000","80.5257500000","117.0000000000","1","3","2024-06-28"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","0.0000000000","0","99","0","0.0000000000","0.0000000000","0.0000000000",,"0",,"2024-06-27"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBM","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets",,,,,,"24.0000000000","15.0000000000","39.0000000000",,"1","2024-06-26"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBM","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets",,,,,,"24.0000000000","15.0000000000","39.0000000000",,"1","2024-06-24"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBM","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets",,,,,,"48.0000000000","30.0000000000","78.0000000000",,"2","2024-06-22"
